timestamp,region,PM2_5_prev,PM2_5,PM2_5_next,increase_flag
2004-03-10T18:00:00.000Z,Region1,,2.6,2.0,0
2004-03-10T19:00:00.000Z,Region1,2.6,2.0,2.2,0
2004-03-10T20:00:00.000Z,Region1,2.0,2.2,2.2,0
2004-03-10T21:00:00.000Z,Region1,2.2,2.2,1.6,0
2004-03-10T22:00:00.000Z,Region1,2.2,1.6,1.2,0
2004-03-10T23:00:00.000Z,Region1,1.6,1.2,1.2,0
2004-03-11T00:00:00.000Z,Region1,1.2,1.2,1.0,0
2004-03-11T01:00:00.000Z,Region1,1.2,1.0,0.9,0
2004-03-11T02:00:00.000Z,Region1,1.0,0.9,0.6,0
2004-03-11T03:00:00.000Z,Region1,0.9,0.6,0.7,0
2004-03-11T05:00:00.000Z,Region1,0.6,0.7,0.7,0
2004-03-11T06:00:00.000Z,Region1,0.7,0.7,1.1,0
2004-03-11T07:00:00.000Z,Region1,0.7,1.1,2.0,1
2004-03-11T08:00:00.000Z,Region1,1.1,2.0,2.2,1
2004-03-11T09:00:00.000Z,Region1,2.0,2.2,1.7,0
2004-03-11T10:00:00.000Z,Region1,2.2,1.7,1.5,0
2004-03-11T11:00:00.000Z,Region1,1.7,1.5,1.6,0
2004-03-11T12:00:00.000Z,Region1,1.5,1.6,1.9,1
2004-03-11T13:00:00.000Z,Region1,1.6,1.9,2.9,1
2004-03-11T14:00:00.000Z,Region1,1.9,2.9,2.2,0
2004-03-11T15:00:00.000Z,Region1,2.9,2.2,2.2,0
2004-03-11T16:00:00.000Z,Region1,2.2,2.2,2.9,0
2004-03-11T17:00:00.000Z,Region1,2.2,2.9,4.8,1
2004-03-11T18:00:00.000Z,Region1,2.9,4.8,2.111764705882353,0
2004-03-11T19:00:00.000Z,Region1,4.8,2.111764705882353,6.1,0
2004-03-11T20:00:00.000Z,Region1,2.111764705882353,6.1,3.9,0
2004-03-11T21:00:00.000Z,Region1,6.1,3.9,1.5,0
2004-03-11T22:00:00.000Z,Region1,3.9,1.5,1.0,0
2004-03-11T23:00:00.000Z,Region1,1.5,1.0,1.7,0
2004-03-12T00:00:00.000Z,Region1,1.0,1.7,1.9,1
2004-03-12T01:00:00.000Z,Region1,1.7,1.9,1.4,0
2004-03-12T02:00:00.000Z,Region1,1.9,1.4,0.8,0
2004-03-12T03:00:00.000Z,Region1,1.4,0.8,2.7,0
2004-03-24T18:00:00.000Z,Region1,0.8,2.7,,
